article_id,article_title,author,date,content
M.1559138654.A.2B0,[黑特] 韓式妄想症-神經病選總統,echoesofneko (貓的回聲),Wed May 29 22:04:12 2019,慢性酒精中毒患者會出現依賴綜合徵、震顫譫妄、酒精中毒性幻覺症、酒精中毒性妄想症 、酒精中毒性腦病等。 患者對酒精的敏感性增高，小量飲酒後便發生急性中毒反應，出現明顯的意識障礙，常伴 有錯覺、幻覺、片段被害妄想，有顯著的情緒興奮、易激惹，攻擊和破壞行為多見，偶見 無目的的重複動作。此類發作通常持續數小時，緩解後患者對經過部分或全部遺忘。 慢性酒精中毒患者會出現依賴綜合徵、震顫譫妄、酒精中毒性幻覺症、酒精中毒性妄想症 、酒精中毒性腦病等。 想看一個被害妄想症的神經病演4年半? 
M.1559138761.A.C54,[討論] 我要如何接到民調電話,Hoshiumi (星海こよい),Wed May 29 22:05:59 2019,本宅自從有手機以來 好像一次也不曾接到民調電話 是因為不是中華電信的嗎 還是因為偶太宅呢 要怎麼接到民調電話？ 
M.1559138898.A.EAF,[討論] 所以卡神slow是誰派來的,yftsai (aa),Wed May 29 22:08:16 2019,卡撐養網軍帶風向已經被抓包了 還扯出外交官自殺的大案 但我更關心卡撐背後到底是誰 有證據說卡撐和蔡英文有關係嗎？ 
M.1559138927.A.1ED,[討論] 如果有候選人宣布廢除義務教育,liveforhappy (水戶洋平),Wed May 29 22:08:45 2019,如果有候選人宣布 他的政見是完全廢除義務教育 讓學生不再受考試壓力之苦 從小自由發揮 會不會讓曾深受升學之苦的大家感同身受 支持度爆表？ 
M.1559139239.A.47B,"[討論] kmt韓黑議員,為何倒戈?",ppp123 (P哥),Wed May 29 22:13:57 2019,邱于軒、曾俊傑、李亞筑 3位議員 今天火力全開 砲打韓市府團隊 大寮林園邱于軒秀出與韓國瑜定情照 笑稱：韓總 我們回不去了 韓國瑜和三民區的國民黨高雄市議員參選人黃香菽、黃柏霖、童燕珍、 曾俊傑聯合造勢 韓國瑜旋風襲捲阿蓮李亞築競選總部近萬人嗨到爆場 舊聞隨便都的到 昔日韓粉議員...今日韓黑 
M.1559139340.A.EB9,[討論] kmt林志玲-游淑慧,wing7001 (小紀),Wed May 29 22:15:38 2019,游淑慧批柯，講得很中肯啊，你一個上任4年五個月的市長在酸一個上任5個月的市長，這 啥神邏輯，游淑慧是目前年輕一輩優秀的議員，下一屆很有可能挑戰台北市長 : 難怪常聽到柯黑都智障這句話 ，哩供啥小 05/29 22:25 ://../04. 之前新聞捧得啊
M.1559139463.A.BCC,[討論] 韓粉是定時炸彈嗎？,angelstephen (山風嵐),Wed May 29 22:17:41 2019,能夠分析出一堆優點挺韓的，個人相當佩服， 感覺和反同陣營應該蠻多重疊，個性接近， 都能認真有邏輯地說幹話。 我覺得這族群，很有來自自我感覺良好的優越感， 類似崇拜權威、聖人的儒教徒， 同時很壓抑的，崩潰起來應該很可怕。 未來韓國瑜沒被徵召，或者落選， 甚至被爆料看破手腳，那股崩潰力道台灣受得了嗎？ 
M.1559139507.A.908,Re: [討論] 時代力量和柯文哲合作嗎？,Nokia6233 (mobile),Wed May 29 22:18:25 2019,: 如果2020時代和柯合作 : 一起選2020總統 : 柯就不用連署書 : 各區人力都有 : 這樣最簡單又方便 : 反正一切就準備 : 等到最後一刻就好 教育家已經在談了 他真的對時代很有愛 教育家說他要用生命來保護阿北 我相信了 你們呢？ 他感覺很得意了 
M.1559139509.A.5AA,[討論] 可以從刷卡看出一個人的品性嗎？,topic21000 (topic21000),Wed May 29 22:18:27 2019,餓死抬頭， 我們都知道，信用卡怎麼刷是們學問 有人用來借錢，有人用來理財 也有人靠它賺錢。 那麼，可以從一個人的刷卡行為 看出這個人的品性嗎？ 還是可以從刷卡大數據看出政治傾 向呢？ 
M.1559139658.A.FEC,[黑特] 認真問 郭是不是黑韓黑過頭產生反效果,FANG4 (子瑜),Wed May 29 22:20:56 2019,的風向大概是這樣 原本除了政黑變成韓黑版之外 其他幾乎找不到一個版是挺郭台銘的 甚至可以用整個幾乎都反郭形容 其他版也沒有反韓啦 就是酸韓國瑜很有趣這樣 但是自從昨天中時和蘋果兩份民調顯示 郭董全面潰敗後 然後東森就出來捧郭贏柯22%了 現在似乎連政黑也不太理郭董了 就剩那幾個背都背的出來的帳號 認真問 打韓是不是已經打到變成反效果了？ 所以今天趕緊說願意跟韓一起同台 
M.1559140151.A.BE0,[討論] 柯P跟我思維一樣想9月才宣布參選2020,cchysw3021 (阿強哥),Wed May 29 22:29:09 2019,我前天5月27日就在本板發文表示 柯最好9月後再宣布參選2020 柯昨天28日接受吳宇舒主播專訪時 就表示9月17日前宣布參選即可 代表柯與我有相同的選舉戰略思維 要不是考量中選會公告9月13日至17日受理總統大選被連署人登記 因此需在9月17日前非得宣布參選 要不然柯可以更晚宣布參選 柯愈晚宣布參選，可以讓自己愈晚被藍綠痛譙 縮短自己被藍綠夾殺的時間 而且也較能收到突襲藍綠之效 對他較有利 太早宣布參選反而對柯極其不利 因此我前天做此選舉戰略思考 是有根據，而且十分正確，並非隨便說說 
M.1559140264.A.018,[討論] 蔡英文用什麼民調有差嗎???,dispptt (dispptt),Wed May 29 22:31:02 2019,這傢伙不是都穩定墊底的嗎??? 說真的 我實在看不懂她在那邊搞賴清德做啥 你就是穩定墊底的啊 用棒球比賽來說 分組比賽抽生死籤 人家最想遇到就是你這種對手 蔡英文用什麼民調有差嗎??? 到底在爽啥? 賴清德就一定穩輸?? 
M.1559140663.A.D6C,Re: [黑特] 朱立倫FB,bezbol (o.o),Wed May 29 22:37:36 2019,真的朱立倫 你有這樣的胸襟 如果到最後一刻還是落後郭台銘 拜託退選全力幫郭台銘 集中知識經濟藍選票在郭身上 吳董在分析韓國瑜出線一定選不上 我是信了 韓國瑜沒有中間跟白色經濟選票 到最後只會擁抱深藍 跟去年姚文智的情況一樣 為了台灣的明天 為了不要讓萬惡的民進黨繼續執政 朱立倫你如果真的這樣做 聲勢一定會高漲 你還年輕也有能力 在郭台銘任內全力輔佐搞好台灣經濟 郭台銘之後就是你接班 拜託拜託 
M.1559140862.A.FD7,[討論] 資進黨今天弄的很難看,TCMRYUTARO (TCMRYUTARO),Wed May 29 22:41:00 2019,不喜歡賴清德 但英派今天弄到很難看 一場公平的初選搞成這樣 本來想說柯太過親中不想投他 現在他出來我就投 因為蔡不尊重制度 這種人不適合當總統 當外交人員就好了 _00. 
M.1559141167.A.B2A,[討論] 討厭民進黨VS討厭共產黨 對決誰會贏 ??,nicholas0406 (尼可拉斯),Wed May 29 22:46:05 2019,2018年 全民最大黨 = 討厭民進黨 那又有人說2020 討厭共產黨也跑進來參戰了 如果討厭民進黨 討厭共產黨 哪個會是全民最大黨 ?? 
M.1559141220.A.917,Re: [討論] 時代力量和柯文哲合作嗎？,ruiun (你人真的很好),Wed May 29 22:46:50 2019,: 如果2020時代和柯合作 : 一起選2020總統 : 柯就不用連署書 : 各區人力都有 : 這樣最簡單又方便 : 反正一切就準備 : 等到最後一刻就好 合作喔 我們來看看前幾天時力怎麼講柯的公宅的 ://../.?_=2888424054562265=891084220962935 鄭文燦第一任沒做完的，拿來第二任喊說要做 柯文哲第一任完成的，直接被時力小編忽視 只講他第二任完成的 這種手段，我叫它作為抹黑 我是不知道你是不是故意反串怕時力跟柯文哲聯手啦 但是時力本身內部一堆新潮流的內鬼 假如你是反串的話 根本不須要你反串來讓時力與柯文哲對立 時力基本上應該也看不起我們這些吸白粉的 你沒看到底下臉書罵成什麼樣子 時力小編都不會道歉改正的 所以2020我是不會支持小綠的，不用擔心 _01. 勇者喜歡巨乳有什麼錯？ 不如說，正因為是勇者才喜歡巨乳 沒看過耶，倒是有看到抱鄭文燦大腿 時力還是找淺綠的下手吧 吸白粉的票不好拿 好哦，助理是誰，她老爸又是那一黨的？ 台南議員候選人林易瑩之前又是那一黨那一潮流的？
