id,title,sentences
M.1557891211.A.047,[討論] 為什麼台灣不能像新加坡?,嗨本魯很少來這版發文
M.1557891211.A.047,[討論] 為什麼台灣不能像新加坡?,今天突然有疑問
M.1557891211.A.047,[討論] 為什麼台灣不能像新加坡?,為什麼台灣不能像新加坡一樣
M.1557891211.A.047,[討論] 為什麼台灣不能像新加坡?,跟馬來西亞旁邊的大國來往密切
M.1557891211.A.047,[討論] 為什麼台灣不能像新加坡?,但還是保有經濟及法律還有生活圈的獨立
M.1557891211.A.047,[討論] 為什麼台灣不能像新加坡?,眾所皆知馬來西亞政治混亂
M.1557891211.A.047,[討論] 為什麼台灣不能像新加坡?,種族分階級明顯
M.1557891211.A.047,[討論] 為什麼台灣不能像新加坡?,經濟也不如新加坡好
M.1557891211.A.047,[討論] 為什麼台灣不能像新加坡?,但馬來西亞人會去新加坡工作
M.1557891211.A.047,[討論] 為什麼台灣不能像新加坡?,新加坡人也會在假日開車去新加坡吃東西度假
M.1557891211.A.047,[討論] 為什麼台灣不能像新加坡?,新加坡除了專制外
M.1557891211.A.047,[討論] 為什麼台灣不能像新加坡?,經濟及教育都算亞洲較為先進的地區
M.1557891211.A.047,[討論] 為什麼台灣不能像新加坡?,為什麼台灣不能像新加坡
M.1557891251.A.00D,Re: [討論] 蔡英文是哪一步走錯了才變成這麼慘？,我沒記錯的話原本勞基法是只有一例而已
M.1557891251.A.00D,Re: [討論] 蔡英文是哪一步走錯了才變成這麼慘？,勞方希望一例改成兩例
M.1557891251.A.00D,Re: [討論] 蔡英文是哪一步走錯了才變成這麼慘？,但是蔡英文是把一例改成一例一休
M.1557891251.A.00D,Re: [討論] 蔡英文是哪一步走錯了才變成這麼慘？,並不是什麼兩例改成一例
M.1557891251.A.00D,Re: [討論] 蔡英文是哪一步走錯了才變成這麼慘？,應該是這樣吧有蔡黑要打臉我的嗎
M.1557891251.A.00D,Re: [討論] 蔡英文是哪一步走錯了才變成這麼慘？,一例改成一例一休叫沒增加
M.1557891251.A.00D,Re: [討論] 蔡英文是哪一步走錯了才變成這麼慘？,我可能理解不如預期
M.1557891251.A.00D,Re: [討論] 蔡英文是哪一步走錯了才變成這麼慘？,但是直接說完全沒增加是想幹嘛
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,看看韓家軍超級鐵粉國民黨中央委員徐正文在中國網站列出的經歷吧
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,再看看一個大家都知道立場的媒體集團如此瘋狂的挺這個韓市長
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,聰明的台灣人你能不憂心嗎
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,資料來源百度互動百科
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,社会职务徐正文
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,北京市政协港澳台侨工作顾问
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,苏州市政协特邀列席代表
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,台北市家长会长协会
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,总会长世界华人协会台湾分会
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,会长吉林省侨联青年委员会
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,海外名誉会长台湾中华黄埔亲友联谊会
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,常务副会长台商协会哈尔滨常务副会长
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,青岛市海外联谊会
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,副会长黑龙江和平统一促进会
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,副会长山东省慈善总会鲁慈对外交流中心
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,副理事长山东省海外联谊会
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,常务理事辽宁省海外联谊会
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,常务理事河南省海外联谊会
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,常务理事安徽省海外联谊会
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,常务理事云南省海外联谊会
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,常务理事北京市港澳台侨海外联谊会
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,常务理事哈尔滨市海外联谊会
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,常务理事浙江省和平统一促进会
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,理事江西省和平统一促进会
M.1557891290.A.E83,[討論] 挺韓大將徐正文在中國網站的寫的經歷,理事中国国民党黄复兴党部
