,中華,cos,民國,cos,中國,cos,大陸,cos,根據,cos,政府,cos,柯文,cos,行政院,cos,只要,cos,我,cos,明天,cos,同婚,cos,就,cos,小英,cos,明年,cos,台灣,cos,法律,cos,選舉,cos,《,cos,草包,cos
0,民國,0.8320214152336121,中華,0.8320214152336121,大陸,0.7124948501586914,香港,0.8072623014450073,施行,0.9033235907554626,現今,0.5477520823478699,哲,0.8508245944976807,任命,0.8318813443183899,直播,0.8051602840423584,樣子,0.753690779209137,檢舉,0.803075909614563,一男一女,0.8205873966217041,吵,0.6674671173095703,拜託,0.9034640192985535,選總統,0.8813185095787048,白痴,0.689726710319519,二人,0.8143162131309509,補選,0.6465097665786743,》,0.9192665219306946,最近,0.9045036435127258
1,邦交,0.6352473497390747,選中,0.6705290079116821,香港,0.635071337223053,海外,0.7695133686065674,製定,0.8885277509689331,取代,0.5330832600593567,瑜賴,0.7271625399589539,察院,0.8159433603286743,好像,0.8034345507621765,既然,0.7422475814819336,回來,0.7937600016593933,專法,0.7935423851013184,開心,0.6671677827835083,笑死人,0.8861233592033386,反正,0.8799284100532532,合法,0.662834107875824,限製,0.8060837388038635,列錶,0.6368271112442017,周刊,0.8287699818611145,覺青,0.8899544477462769
2,選中,0.6273152232170105,增修,0.6561020016670227,放棄,0.6105748414993286,宣稱,0.7481489777565002,公民投票,0.881751537322998,高層,0.5295490622520447,賴清德,0.7133673429489136,監,0.8082883358001709,後面,0.7939993739128113,不爽,0.7382189631462097,了解,0.7897947430610657,法案,0.7922363877296448,風向,0.6600539684295654,表態,0.8788307309150696,教訓,0.8773984909057617,國家,0.6522495150566101,保障,0.7969086170196533,預估,0.6224936842918396,時報,0.8232219219207764,請問,0.8703415989875793
3,北京,0.6121117472648621,陸委,0.6429405808448792,武力,0.6055017113685608,放棄,0.7470632195472717,公布,0.8730179667472839,邦交,0.5269251465797424,韓國,0.7034181952476501,院長,0.7842851877212524,發大財,0.7907111048698425,別人,0.7354918122291565,年金,0.7775706052780151,平權,0.7805200815200806,麼多,0.6566396355628967,讚,0.8764060735702515,選了,0.8687800765037537,東西,0.6493706107139587,予以,0.7895063161849976,直轄,0.6043040156364441,雜誌,0.805825412273407,跳票,0.8614753484725952
4,外交,0.6114531755447388,條文,0.6321350336074829,北京,0.5911416411399841,武力,0.7420540452003479,增修,0.8704055547714233,官員,0.5255843997001648,想法,0.6952697038650513,考試,0.7763552069664001,看看,0.786820650100708,覺青,0.7341042160987854,如何,0.7757638096809387,得罪,0.7758927345275879,翻,0.6557214260101318,來選,0.876316487789154,表態,0.8668426275253296,才能,0.6380025148391724,身體,0.7837920784950256,舉區,0.592470109462738,國傢法,0.8029463887214661,來選,0.8611404299736023
5,現今,0.6050006151199341,接管,0.6294788122177124,堅持,0.5887780785560608,中國,0.7124948501586914,反分裂,0.8652980923652649,接收,0.5250731706619263,清德,0.6642008423805237,議決,0.7490804195404053,親美,0.783710241317749,答案,0.734046220779419,廠,0.7749444842338562,合法,0.7722026109695435,怕,0.6539462208747864,躺,0.8753663897514343,上台,0.8607078790664673,保證,0.6253028512001038,形式,0.783709704875946,國縣,0.5913321375846863,日報,0.7954339981079102,他媽,0.858564555644989
6,增修,0.600180983543396,民選,0.6283425688743591,海外,0.5857974886894226,接收,0.7075711488723755,國傢法,0.8596338033676147,屬於,0.5239676833152771,柯粉,0.6513786911964417,統府,0.7486873269081116,欸,0.7817049622535706,投訴,0.731855571269989,一場,0.7725307941436768,關注,0.768959105014801,不爽,0.6530569791793823,一休,0.8752158284187317,妳,0.8513553738594055,責任,0.6228757500648499,性別,0.7760800123214722,本次,0.5912266373634338,反分裂,0.7843800783157349,拜託,0.8578654527664185
7,建交,0.59783935546875,共和,0.6273338198661804,宣稱,0.5665549635887146,國庫,0.7053712010383606,1971,0.858747661113739,持續,0.5206616520881653,台南,0.6423711180686951,彈劾,0.7473543882369995,跳票,0.7781941890716553,阿北,0.7302848696708679,等到,0.7707239985466003,戀,0.765801727771759,幹嘛,0.6512666940689087,選了,0.8711113929748535,他媽,0.8513335585594177,工廠,0.6225782632827759,一切,0.7728727459907532,鄉鎮,0.5866761803627014,中日,0.7768357396125793,不想,0.8536291122436523
8,聯閤國,0.5949234962463379,邦交,0.6248776316642761,居民,0.5656930208206177,神聖,0.7037365436553955,臨時,0.8536562323570251,受到,0.5168282985687256,表示,0.629626989364624,立法院,0.7401191592216492,吵,0.7772272825241089,我家,0.7246715426445007,像是,0.7706471085548401,歧視,0.7640562653541565,他媽,0.6499281525611877,好好,0.8703510761260986,做事,0.8505309224128723,很多,0.6135715246200562,遵守,0.764026403427124,舉中,0.5815879702568054,動員,0.7735180258750916,狂,0.852767288684845
9,國籍,0.5948159098625183,直選,0.6207143068313599,日本,0.5562183260917664,閤法,0.6990023851394653,條文,0.8462752103805542,尚未,0.5069189667701721,表態,0.6286371946334839,改由,0.7267454266548157,表態,0.7765910625457764,懂,0.722206175327301,然後,0.7596263289451599,表決,0.7609697580337524,像是,0.6482815742492676,怕,0.8702341914176941,小英,0.8503093123435974,家庭,0.6135303974151611,違憲,0.7493440508842468,暨,0.5810777544975281,金山,0.7710543274879456,躺,0.8512253165245056
